review_id,place_name,author,rating,date,clean_text
1,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",Thao Le,1.2,7/20/2022,"Quán phục vụ kém, ông chủ ngồi thu tiền đuổi khách Quán phục vụ kém, ông chủ ngồi thu tiền đuổi khách"
2,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",Thao Nguyen,6.0,1/16/2021,Hơi mắc! Phần bún bò không được 3 lát bò như hình. Hơi bị mắc và ít. Con gái như mình còn cảm thấy ko đủ. Bù lại nước dùng nêm nếm ngon.
4,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",MIMI TRẦN,8.0,4/19/2020,"Quán Ăn Huế O Xuân Ăn ở đây thì chỉ ăn các món sau là bún mắm nêm, nem nướng, bánh bào. Tất cả đều ngon. Bún mắm thì cũng, bún bò thì bình thường. Các món khác thì không biết."
5,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",Quynh,6.0,2/23/2020,"Món Huế Các loại bánh Huế ngon, nước mắm ổn. Bún mắm dở, đồ ăn không tươi giá mắc. Giá tính tiền không giống menu. Khi tính hỏi bill, được mang bill ra thì giá không khớp với menu, được giải thích là trước Tết có tăng ai ăn quen đều biết! Chênh lệnh 5k-10k/1 món. Không quay lại."
6,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",foodee_ff4f4895,3.6,1/20/2020,"Quán Ăn Huế O Xuân Hay ủng hộ quán vì vị ngon nhưng nay ko chấp nhận dc,đã lam ve dịch vụ đồ an thi phai sach se chất luong la hàng đầu,thịt thì mỡ,đồ an thi co con này thi an lam sao...Mong quán se giữ gìn ve sinh tot hon va kĩ hon"
7,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",Iris Ngo,4.4,12/20/2019,"Bẩn thỉu thấy sợ, ăn một lần chạy mất dép Kêu không lấy đồ chua mà vẫn bỏ đồ chua. Hộp bánh bèo nặm lọc thập cẩm thì lôi ra được hai sợi tóc từ bánh đúc và bánh nặm. Làm ăn vậy ai dám quay lại ăn nữa."
8,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",Dương Tử,7.8,10/31/2019,"Quán Ăn Huế O Xuân Quán O Xuân cũng khá nổi tiếng, thường xuyên đông khách, không có máy lạnh nên buổi trưa hơi nóng chút. Mình gọi 3 món: bánh thập cẩm 40k, có đủ chả, nem, bánh nậm, lọc, bánh bèo, bánh ram ít... Ruốc cực thơm, nước mắm cũng ngon nữa. Bún bò cũng khá chất lượng nè, nước lèo đậm đà. Bún hến thì cũng ổn, phần ăn đủ no. Hến tươi ngọt, đậu phộng giòn và bánh phồng ăn kèm với nhau hợp lắm. Tổng chi phí tầm 130k 2 người ăn no nha. Trà đá khăn lạnh 2k, nhân viên nhanh nhẹn."
9,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",chi kim,2.4,7/6/2019,"1 lần duy nhất Thực sự ko hiểu sao mọi ng khen đc luôn 😂 mình ăn rất nhiều qan Huế từ ngon tới dở nhưng chưa bao h dở như này, quán làm ko có tâm! Mình gọi nhiều thứ để ăn thử, tổng 91k. Bánh thập cẩm thì cái nào cũng cứng, do bột. Nước mắm quá mặn và có vị lợ. Nem thì mặn chát luôn 😂 mỗi thứ mình ăn đc có 1 tí phải bỏ. Bột lọc thì dai thôi rồi nhai mãi ko đứt phải nhả ra luôn á... khả dĩ nhất là bánh ram ít, nhưng cũng ko giống tất cả quán khác mình từng ăn. Thật sự phí tiền và bực mình!"
10,"Quán Ăn Huế O Xuân ở Quận 1, TP. HCM",Thanh Lê,8.8,5/16/2019,Bánh thập cẩm ngon Tới quán này ăn mình chỉ ăn bánh thập cẩm một dĩa đầy đủ tất cả các loại bánh Huế không thiếu loại nào. Bánh nào cũng ngon và hợp khẩu vị với mình😁😁 Đặc biệt ở đây bánh Huế ăn cùng với nem nướng. Nem nướng bằng than rất ngon mà hầu như ít quán có nem ăn cùng. Giá cả hợp lý tuy nhiên chỗ này ngồi lại ăn hơi nóng nên mình thường order về nhà. Đóng gói rất cẩn thận và hợp vệ sinh
11,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",phương anh hà,5.0,9/19/2020,Fruit Crush - Trái Cây Tươi & Ăn Vặt -*** Hơi thất vọng. Mình nghĩ thập cẩm lớn thì sẽ có nhìu loại hơn hoặc ít hơn sẽ có thêm loại trái cây mền mà mình thấy đc mỗi dưa hấu à. Mình cũng đặt quán nhìu lần mà lần nào cũng là phần này không có thêm loại khác chắc mình đặt lần này thôi. Mình có đặt thêm bánh tráng mà bánh tráng cứng quá🙁. Ai đang đói bụng mà ăn phần này vô mình nghĩ chắc sẽ bị đau bao tử ấy.
12,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",thắng,3.6,7/26/2020,"Bưởi và mít. Bưởi có vị ủng, cảm giác ăn múi bưởi thì có vị như múi bưởi bị thối. Mít thì nhớt nhớt kiểu đã để lâu ngày."
13,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",Hieu Ng,7.4,5/5/2020,"Trái cây tươi Phần trái cây ly dằm sữa chua khá ngon, nhiều loại trái cây như thanh long, bơ, đu đủ, dưa hấu, vải, nho, dâu tây,.. có thêm sương sáo. Quán sẽ cho sẵn sữa đặc, hơi nhiều nên ngọt, nếu ăn nhạt thì note để quán cho ít sữa. Sữa chua đi kèm là sữa chua lothamilk. Trái cây tươi, đặt nhiều lần đều ok. Quán có cho đá bào đi kèm, nhưng trái cây đựng trong ly sẽ không còn chỗ để đá, nên khi ăn cho ra tô sẽ tiện hơn. Chất lượng so với giá cả thì ok"
14,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",Phương Nguyễn,7.6,4/12/2020,"Fruit Crush - Trái Cây Tươi & Ăn Vặt -*** Thấy dâu Nhật nên mua thử ăn, mà bạn mình bảo dâu Nhật gì rẻ vậy ( Do mình đang ở Nhật, còn ny ở***) cái mình đùa bảo là ' Dâu Nhật trồng ở***' mà ai ngờ mua về ăn đúng thật là vậy )) do mình hay mang dâu về hay bạn ấy sang thăm cũng đi mùa dâu do 2 đứa mình nghiện dâu Không biết xuất xứ của dâu ở đâu nhưng ăn cũng khá ổn, dâu không tươi cho lắm, nhưng ưng cái là bên tiệm sợ dập dâu nên có lót giấy ( chắc cải thiện do mấy bạn trước bị dập)"
15,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",Loan Nguyễn,7.0,2/4/2020,"Fruit Crush - Trái Cây Tươi & Ăn Vặt -*** Mình đặt trái cây ở đây vài lần rồi, lần trứơc có đặt dâu nhưng có hư dập nhẹ, nay now có giảm nên đặt tiếp dâu và thơm, thơm ngọt, chín tới ngon lắm, dâu tươi hơn bữa truớc, rất hài lòng."
16,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",Trâm Hoàng,8.8,1/13/2020,"Tươi ngon cực kì Mình đặt giao trên Now 2 lần trong 2 ngày liên tiếp. L Lần đầu tiên, vừa nhận hàng mình thật sự rất ấn tượng với hộp trái cây tươi mới, nhiều khủng khiếp như vậy. Hộp này là hộp thập cẩm lớn, giá gốc 79k. Mình mua vào dịp khuyến mãi nên giá còn 39,5k. Sau khi dùng mã giảm giá và cộng tiền ship thì khoảng 34k. Thật sự thì hơn cả mong đợi. Đến hôm sau, mình đã đặt thêm 1 phần giống như vậy vì ấn tượng quá tốt của hôm trước, nhưng sao ổi có vẻ ko giòn như hôm trước mà mềm hơn, thêm nữa là cam có phần bị hư nhẹ. Còn lại vẫn tươi ngon. Mong quán để ý hơn ạ."
17,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",Nkím Nũng,7.6,1/8/2020,Trái cây dầm yogurt Mới đặt lần đầu...ngon lắm. Trái cây theo mùa thì phải... Đặt lúc quán đang giảm.. Rất ok.
18,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",Emily0808,10.0,12/20/2019,"Trái cây tươi mới sạch , nhiều giá rẻ Toàn mua code giảm giá nhưng quán bán toàn đầy hộp , chất lượng lại đóng gói đẹp vệ sinh ."
19,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",Huyền Ngọc,9.4,11/28/2019,Trái cây dầm ngon Trái cây dầm quán làm rất ngon nhiều giá hợp lý . Sẽ ủng hộ
20,"Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi ở Quận 1, TP. HCM",Ngân Nguyễn,7.4,11/26/2019,"Ngon rẻ. Mới ăn thơm và dưa gang ở đây thui, món khác thì chưa ăn, trái cây tươi ngon và số lượng cũng khá nhiều mặc dù mình toàn mua lúc giảm giá. Thơm 1 hộp 14k nhiều lắm, gần cả trái, trong khi mình ra chợ mua 1 trái đã 20k, cũng không đc to lắm. Dưa gang thì thích nhất, tuỳ km khoản 16 hoặc 19k 1 ly, cho kèm cả sữa chua, đầy cả ly. Mua vài chỗ rùi, chỗ nay dưa gang thấy dẻo nhất, nhiều nhất. Bên dưới là hình mình chụp, hình đầu là mua ở fruit crush, 2 chỗ khác mình mua giá tương tự, có cho hộp sữa chua, có ko cho, mà ít xìu àh, ko như ở đây."
21,"Mỳ Ý 4B - Hamburger & Ăn Vặt ở Quận 7, TP. HCM",Jim Nguyễn,1.0,6/16/2021,"Mỳ Ý 4B Nói mì như được dùng tương cà làm nước sốt thì có gì sai hay sao vậy nhỉ ?. May quá mình không biết nấu mấy củng nhìn ra được cái cách làm của bạn ấy mà, Ahihi lêu lêu"
22,"Mỳ Ý 4B - Hamburger & Ăn Vặt ở Quận 7, TP. HCM",Ngoc Anh Ng,10.0,2/1/2020,"Ngon, giá cả hợp lý Gà sốt phô mai ngon, có mấy chục thôi nhưng nhiều gà, sốt phô mai ăn ổn. Mì ý hơi nhạt, mình gọi phần vừa và ăn thấy đủ no. Sẽ còn ủng hộ"
23,"Mỳ Ý 4B - Hamburger & Ăn Vặt ở Quận 7, TP. HCM",thy,9.2,12/31/2019,Mì ý Tình cờ tìm được quán. Thấy giá cả cũng ổn nên đặt thử. Thật không thất vọng. Mì ngon lắm
24,"Mỳ Ý 4B - Hamburger & Ăn Vặt ở Quận 7, TP. HCM",Hgphuong,8.2,10/25/2019,Mỳ Ý 4B Ăn quài riết ghiền luôn á . Lần nào tiện đường thì ghé quán mua về ăn . Không thì đặt cho ship giao vẫn cứ là ok . Vừa miệng . Sẽ tiếp tục ăn ở đây 👉👉👉
25,"Mỳ Ý 4B - Hamburger & Ăn Vặt ở Quận 7, TP. HCM",Eater,4.4,10/5/2019,"Mỳ Mấy lần trước đặt ăn thì ổn, mà hôm nay chất lượng tệ quá, phần mì gà phô mai còn có 2 miếng gà chiên. Phần mì xúc xích thì vị rất lạ chua chua ăn chả nổi, có mỗi 2 lát xúc xích vs vài cục thịt băm nhỏ"
26,"Mỳ Ý 4B - Hamburger & Ăn Vặt ở Quận 7, TP. HCM",Etsuko  Pham,10.0,9/9/2019,Mỳ Ý 4B Đặt 4-5 lần rồi ăn vẫn cứ ngon í !
